timestamp,WL2_VIB,DV5_VIB,CT1_VIB,SL3_VIB
2026-05-13 00:00,1.15,1.33,1.39,1.27
2026-05-13 01:00,1.06,1.21,1.49,1.58
2026-05-13 02:00,1.15,1.12,1.12,1.21
2026-05-13 03:00,1.22,1.16,1.22,1.36
2026-05-13 04:00,0.96,1.08,1.24,1.25
2026-05-13 05:00,1.12,1.23,1.31,1.40
2026-05-13 06:00,1.20,1.27,1.25,1.40
2026-05-13 07:00,1.27,1.22,1.25,1.31
2026-05-13 08:00,1.28,1.43,1.43,1.26
2026-05-13 09:00,1.34,1.20,1.45,1.43
2026-05-13 10:00,1.42,1.59,1.37,1.45
2026-05-13 11:00,1.59,1.39,1.69,1.57
2026-05-13 12:00,1.38,1.34,1.37,1.60
2026-05-13 13:00,1.52,1.41,1.49,1.67
2026-05-13 14:00,1.31,1.38,1.41,1.56
2026-05-13 15:00,1.35,1.26,1.70,1.41
2026-05-13 16:00,1.40,1.36,1.39,1.33
2026-05-13 17:00,1.17,1.23,1.18,1.51
2026-05-13 18:00,1.05,1.02,1.45,1.19
2026-05-13 19:00,1.30,1.03,1.43,1.16
2026-05-13 20:00,1.06,1.25,1.09,1.36
2026-05-13 21:00,1.30,1.18,1.21,1.32
2026-05-13 22:00,1.18,1.23,1.25,1.30
2026-05-13 23:00,1.08,1.25,1.30,1.28
2026-05-14 00:00,1.33,1.32,1.36,1.24
2026-05-14 01:00,1.06,1.18,1.19,1.35
2026-05-14 02:00,1.37,1.36,1.38,1.15
2026-05-14 03:00,1.24,1.31,1.40,1.36
2026-05-14 04:00,1.27,1.26,1.40,1.53
2026-05-14 05:00,1.24,1.15,1.40,1.22
2026-05-14 06:00,1.24,1.38,1.31,1.25
2026-05-14 07:00,1.19,1.20,1.44,1.40
2026-05-14 08:00,1.42,1.49,1.38,1.38
2026-05-14 09:00,1.33,1.43,1.38,1.62
2026-05-14 10:00,1.54,1.23,1.43,1.48
2026-05-14 11:00,1.53,1.40,1.58,1.50
2026-05-14 12:00,1.50,1.46,1.49,1.64
2026-05-14 13:00,1.34,1.59,1.57,1.58
2026-05-14 14:00,1.35,1.43,1.58,1.41
2026-05-14 15:00,1.62,1.36,1.42,1.45
2026-05-14 16:00,1.28,1.24,1.40,1.50
2026-05-14 17:00,1.31,1.21,1.37,1.43
2026-05-14 18:00,1.17,1.23,1.25,1.19
2026-05-14 19:00,1.12,1.28,1.23,1.42
2026-05-14 20:00,1.12,1.18,1.07,1.40
2026-05-14 21:00,1.12,1.08,1.18,1.35
2026-05-14 22:00,1.20,1.27,1.27,1.32
2026-05-14 23:00,1.37,1.41,1.28,1.29
2026-05-15 00:00,1.12,1.24,1.17,1.41
2026-05-15 01:00,1.16,1.31,1.30,1.41
2026-05-15 02:00,1.20,1.27,1.18,1.34
2026-05-15 03:00,0.98,1.21,1.07,1.38
2026-05-15 04:00,1.23,1.34,1.37,1.08
2026-05-15 05:00,1.12,1.12,1.20,1.17
2026-05-15 06:00,1.04,1.28,1.26,1.30
2026-05-15 07:00,1.32,1.48,1.40,1.39
2026-05-15 08:00,1.32,1.14,1.30,1.51
2026-05-15 09:00,1.43,1.37,1.53,1.56
2026-05-15 10:00,1.40,1.37,1.47,1.54
2026-05-15 11:00,1.56,1.26,1.59,1.56
2026-05-15 12:00,1.65,1.45,1.57,1.70
2026-05-15 13:00,1.49,1.57,1.54,1.55
2026-05-15 14:00,1.31,1.31,1.57,1.58
2026-05-15 15:00,1.40,1.23,1.41,1.71
2026-05-15 16:00,1.29,1.34,1.39,1.39
2026-05-15 17:00,1.13,1.44,1.52,1.40
2026-05-15 18:00,1.07,1.31,1.22,1.43
2026-05-15 19:00,1.17,1.33,1.12,1.35
2026-05-15 20:00,1.31,1.20,1.28,1.48
2026-05-15 21:00,1.00,1.22,1.20,1.32
2026-05-15 22:00,1.31,1.18,1.40,1.27
2026-05-15 23:00,1.06,1.25,1.30,1.12
2026-05-16 00:00,1.16,1.13,1.24,1.40
2026-05-16 01:00,1.21,1.22,1.21,1.34
2026-05-16 02:00,1.17,1.33,1.22,1.22
2026-05-16 03:00,1.16,1.18,1.31,1.32
2026-05-16 04:00,1.16,1.13,1.25,1.21
2026-05-16 05:00,1.19,1.09,1.32,1.51
2026-05-16 06:00,1.37,1.20,1.13,1.34
2026-05-16 07:00,1.20,1.47,1.23,1.46
2026-05-16 08:00,1.10,1.23,1.30,1.49
2026-05-16 09:00,1.41,1.39,1.54,1.54
2026-05-16 10:00,1.63,1.51,1.32,1.57
2026-05-16 11:00,1.54,1.53,1.54,1.58
2026-05-16 12:00,1.48,1.25,1.58,1.55
2026-05-16 13:00,1.32,1.50,1.35,1.61
2026-05-16 14:00,1.38,1.52,1.63,1.51
2026-05-16 15:00,1.30,1.30,1.42,1.48
2026-05-16 16:00,1.34,1.39,1.37,1.46
2026-05-16 17:00,1.26,1.23,1.41,1.25
2026-05-16 18:00,1.18,1.27,1.05,1.08
2026-05-16 19:00,1.10,1.25,1.31,1.47
2026-05-16 20:00,1.17,1.23,1.17,1.16
2026-05-16 21:00,1.19,1.31,1.35,1.30
2026-05-16 22:00,1.28,1.23,1.14,1.37
2026-05-16 23:00,1.24,1.14,1.25,1.34
2026-05-17 00:00,1.02,1.16,1.27,1.20
2026-05-17 01:00,1.05,1.28,1.24,1.22
2026-05-17 02:00,1.10,1.39,1.28,1.36
2026-05-17 03:00,1.03,1.24,1.20,1.48
2026-05-17 04:00,1.21,1.30,1.32,1.29
2026-05-17 05:00,1.32,1.24,1.25,1.25
2026-05-17 06:00,1.19,1.22,1.20,1.29
2026-05-17 07:00,1.25,1.20,1.21,1.26
2026-05-17 08:00,1.30,1.37,1.48,1.51
2026-05-17 09:00,1.43,1.31,1.40,1.61
2026-05-17 10:00,1.37,1.40,1.62,1.39
2026-05-17 11:00,1.38,1.46,1.57,1.52
2026-05-17 12:00,1.32,1.42,1.54,1.65
2026-05-17 13:00,1.40,1.52,1.69,1.51
2026-05-17 14:00,1.34,1.44,1.39,1.73
2026-05-17 15:00,1.48,1.24,1.53,1.58
2026-05-17 16:00,1.25,1.18,1.48,1.58
2026-05-17 17:00,1.33,1.21,1.36,1.35
2026-05-17 18:00,1.07,0.99,1.24,1.03
2026-05-17 19:00,1.06,1.13,1.24,1.19
2026-05-17 20:00,1.24,1.28,1.14,1.39
2026-05-17 21:00,1.27,1.08,1.21,1.22
2026-05-17 22:00,1.19,1.18,1.24,1.34
2026-05-17 23:00,1.07,1.28,1.41,1.30
2026-05-18 00:00,1.13,1.29,1.06,1.40
2026-05-18 01:00,1.08,1.22,1.14,1.39
2026-05-18 02:00,1.23,1.17,1.30,1.24
2026-05-18 03:00,1.13,1.10,1.09,1.21
2026-05-18 04:00,1.18,1.21,1.32,1.42
2026-05-18 05:00,1.04,1.01,1.09,1.26
2026-05-18 06:00,1.18,1.18,1.13,1.32
2026-05-18 07:00,1.21,1.19,1.39,1.30
2026-05-18 08:00,1.33,1.36,1.37,1.47
2026-05-18 09:00,1.33,1.21,1.60,1.52
2026-05-18 10:00,1.50,1.45,1.53,1.66
2026-05-18 11:00,1.46,1.49,1.63,1.59
2026-05-18 12:00,1.52,1.57,1.40,1.23
2026-05-18 13:00,1.46,1.38,1.57,1.56
2026-05-18 14:00,1.40,1.35,1.64,1.63
2026-05-18 15:00,1.33,1.31,1.58,1.51
2026-05-18 16:00,1.28,1.37,1.45,1.56
2026-05-18 17:00,1.14,1.29,1.19,1.38
2026-05-18 18:00,1.06,1.31,1.09,1.30
2026-05-18 19:00,1.16,1.13,1.25,1.40
2026-05-18 20:00,1.34,1.04,1.18,1.33
2026-05-18 21:00,1.11,1.28,1.23,1.15
2026-05-18 22:00,1.08,1.13,1.62,1.29
2026-05-18 23:00,1.16,1.06,1.17,1.40
2026-05-19 00:00,1.01,1.15,1.40,1.30
2026-05-19 01:00,1.06,1.03,1.31,1.08
2026-05-19 02:00,1.14,1.25,1.31,1.21
2026-05-19 03:00,1.26,1.18,1.21,1.25
2026-05-19 04:00,1.05,1.08,1.28,1.30
2026-05-19 05:00,1.16,1.44,1.19,1.30
2026-05-19 06:00,1.16,1.16,1.20,1.53
2026-05-19 07:00,1.32,1.26,1.50,1.27
2026-05-19 08:00,1.21,1.34,1.48,1.31
2026-05-19 09:00,1.34,1.46,1.43,1.42
2026-05-19 10:00,1.40,1.36,1.48,1.30
2026-05-19 11:00,1.47,1.50,1.63,1.68
2026-05-19 12:00,1.47,1.48,1.64,1.63
2026-05-19 13:00,1.56,1.68,1.53,1.74
2026-05-19 14:00,1.58,1.52,1.43,1.66
2026-05-19 15:00,1.38,1.29,1.61,1.57
2026-05-19 16:00,1.21,1.37,1.42,1.32
2026-05-19 17:00,1.09,1.38,1.38,1.28
2026-05-19 18:00,1.32,1.22,1.15,1.31
2026-05-19 19:00,1.16,1.19,1.18,1.14
2026-05-19 20:00,0.99,1.23,1.33,1.19
2026-05-19 21:00,1.26,1.26,1.18,1.36
2026-05-19 22:00,1.10,1.21,1.36,1.21
2026-05-19 23:00,1.04,1.24,1.30,1.23
2026-05-20 00:00,1.26,1.23,1.11,1.35
2026-05-20 01:00,1.13,1.26,1.21,1.45
2026-05-20 02:00,1.34,1.23,1.19,1.28
2026-05-20 03:00,1.01,1.27,1.11,1.35
2026-05-20 04:00,1.30,1.26,1.35,1.27
2026-05-20 05:00,1.20,1.06,1.09,1.22
2026-05-20 06:00,1.11,1.32,1.09,1.30
2026-05-20 07:00,1.41,1.24,1.41,1.41
2026-05-20 08:00,1.30,1.26,1.45,1.43
2026-05-20 09:00,1.38,1.21,1.48,1.44
2026-05-20 10:00,1.35,1.68,1.39,1.66
2026-05-20 11:00,1.54,1.46,1.46,1.51
2026-05-20 12:00,1.50,1.45,1.43,1.38
2026-05-20 13:00,1.67,1.54,1.63,1.64
2026-05-20 14:00,1.27,1.58,1.56,1.52
2026-05-20 15:00,1.25,1.53,1.30,1.44
2026-05-20 16:00,1.19,1.40,1.44,1.29
2026-05-20 17:00,1.10,1.31,1.24,1.35
2026-05-20 18:00,1.08,1.07,1.07,1.11
2026-05-20 19:00,0.98,1.19,1.28,1.31
2026-05-20 20:00,1.21,1.12,1.17,1.29
2026-05-20 21:00,1.22,1.16,1.14,1.31
2026-05-20 22:00,1.18,1.20,1.29,1.25
2026-05-20 23:00,0.99,1.30,1.34,1.40
2026-05-21 00:00,1.22,1.22,1.22,1.19
2026-05-21 01:00,1.00,1.41,1.23,1.50
2026-05-21 02:00,1.08,1.27,1.26,1.41
2026-05-21 03:00,1.20,1.15,1.22,1.26
2026-05-21 04:00,0.96,1.27,1.05,1.53
2026-05-21 05:00,1.13,1.19,1.40,1.41
2026-05-21 06:00,1.08,1.06,1.23,1.27
2026-05-21 07:00,1.11,1.34,1.12,1.48
2026-05-21 08:00,1.35,1.32,1.34,1.53
2026-05-21 09:00,1.45,1.45,1.47,1.50
2026-05-21 10:00,1.38,1.40,1.54,1.61
2026-05-21 11:00,1.46,1.57,1.58,1.54
2026-05-21 12:00,1.40,1.54,1.43,1.60
2026-05-21 13:00,1.23,1.46,1.40,1.65
2026-05-21 14:00,1.45,1.44,1.72,1.67
2026-05-21 15:00,1.49,1.44,1.67,1.45
2026-05-21 16:00,1.20,1.37,1.65,1.47
2026-05-21 17:00,1.18,1.32,1.37,1.33
2026-05-21 18:00,1.19,1.30,1.27,1.13
2026-05-21 19:00,1.16,1.26,1.41,1.39
2026-05-21 20:00,1.15,1.06,1.15,1.28
2026-05-21 21:00,1.01,1.25,1.20,1.41
2026-05-21 22:00,0.94,1.08,1.41,1.41
2026-05-21 23:00,1.14,1.45,1.26,1.36
2026-05-22 00:00,1.17,1.44,1.32,1.27
2026-05-22 01:00,0.91,1.22,1.31,1.43
2026-05-22 02:00,1.18,1.31,1.43,1.30
2026-05-22 03:00,1.21,1.10,1.20,1.46
2026-05-22 04:00,1.33,1.14,1.11,1.34
2026-05-22 05:00,1.19,1.23,1.26,1.31
2026-05-22 06:00,1.19,1.20,1.34,1.35
2026-05-22 07:00,1.05,1.25,1.26,1.52
2026-05-22 08:00,1.27,1.26,1.38,1.69
2026-05-22 09:00,1.47,1.37,1.25,1.61
2026-05-22 10:00,1.27,1.52,1.62,1.66
2026-05-22 11:00,1.53,1.48,1.51,1.60
2026-05-22 12:00,1.43,1.43,1.55,1.47
2026-05-22 13:00,1.34,1.60,1.41,1.65
2026-05-22 14:00,1.33,1.45,1.51,1.42
2026-05-22 15:00,1.36,1.19,1.39,1.38
2026-05-22 16:00,1.32,1.15,1.45,1.43
2026-05-22 17:00,1.35,1.16,1.38,1.32
2026-05-22 18:00,1.05,0.99,1.40,1.17
2026-05-22 19:00,1.13,1.22,1.30,1.27
2026-05-22 20:00,1.15,1.19,1.47,1.38
2026-05-22 21:00,1.00,1.30,1.05,1.21
2026-05-22 22:00,1.21,1.24,1.37,1.14
2026-05-22 23:00,1.27,1.36,1.06,1.24
2026-05-23 00:00,1.20,1.06,1.36,1.26
2026-05-23 01:00,1.14,1.12,1.20,1.34
2026-05-23 02:00,1.04,1.13,1.23,1.25
2026-05-23 03:00,1.19,1.23,1.38,1.05
2026-05-23 04:00,1.10,1.28,1.26,1.29
2026-05-23 05:00,1.13,1.33,0.95,1.26
2026-05-23 06:00,1.18,1.22,1.11,1.32
2026-05-23 07:00,1.09,1.38,1.34,1.42
2026-05-23 08:00,1.26,1.48,1.41,1.43
2026-05-23 09:00,1.38,1.47,1.39,1.43
2026-05-23 10:00,1.38,1.44,1.56,1.65
2026-05-23 11:00,1.49,1.55,1.39,1.55
2026-05-23 12:00,1.28,1.47,1.54,1.55
2026-05-23 13:00,1.42,1.68,1.60,1.75
2026-05-23 14:00,1.33,1.43,1.63,1.59
2026-05-23 15:00,1.42,1.26,1.77,1.52
2026-05-23 16:00,1.31,1.40,1.26,1.49
2026-05-23 17:00,1.27,1.24,1.22,1.50
2026-05-23 18:00,1.21,1.25,1.19,1.38
2026-05-23 19:00,0.97,1.19,1.26,1.50
2026-05-23 20:00,1.16,1.14,1.17,1.20
2026-05-23 21:00,1.24,1.15,1.28,1.21
2026-05-23 22:00,1.14,1.20,1.12,1.38
2026-05-23 23:00,1.03,1.11,1.30,1.30
2026-05-24 00:00,1.18,1.23,1.42,1.37
2026-05-24 01:00,1.16,1.28,1.32,1.35
2026-05-24 02:00,1.07,1.13,1.13,1.31
2026-05-24 03:00,1.20,1.25,1.29,1.19
2026-05-24 04:00,1.11,1.16,1.16,1.30
2026-05-24 05:00,1.15,1.29,1.25,1.30
2026-05-24 06:00,0.94,1.27,1.21,1.27
2026-05-24 07:00,1.18,1.37,1.22,1.30
2026-05-24 08:00,1.25,1.21,1.42,1.41
2026-05-24 09:00,1.32,1.32,1.67,1.60
2026-05-24 10:00,1.41,1.62,1.73,1.61
2026-05-24 11:00,1.41,1.38,1.77,1.67
2026-05-24 12:00,1.30,1.35,1.45,1.54
2026-05-24 13:00,1.54,1.65,1.37,1.70
2026-05-24 14:00,1.38,1.46,1.48,1.66
2026-05-24 15:00,1.18,1.57,1.50,1.51
2026-05-24 16:00,1.30,1.30,1.16,1.48
2026-05-24 17:00,1.15,1.19,1.26,1.43
2026-05-24 18:00,1.16,1.23,1.53,1.41
2026-05-24 19:00,1.10,1.04,1.39,1.30
2026-05-24 20:00,1.26,1.22,1.23,1.42
2026-05-24 21:00,1.05,1.06,1.00,1.45
2026-05-24 22:00,1.21,1.23,1.13,1.42
2026-05-24 23:00,1.03,1.37,1.20,1.19
2026-05-25 00:00,1.06,1.23,1.39,1.48
2026-05-25 01:00,1.21,1.24,1.35,1.22
2026-05-25 02:00,1.22,1.18,1.25,1.30
2026-05-25 03:00,1.31,1.23,1.26,1.24
2026-05-25 04:00,1.20,1.22,1.26,1.35
2026-05-25 05:00,1.05,1.32,1.19,1.39
2026-05-25 06:00,1.09,1.14,1.17,1.57
2026-05-25 07:00,1.15,1.23,1.38,1.49
2026-05-25 08:00,1.56,1.43,1.37,1.39
2026-05-25 09:00,1.48,1.53,1.55,1.46
2026-05-25 10:00,1.27,1.37,1.37,1.57
2026-05-25 11:00,1.54,1.50,1.48,1.66
2026-05-25 12:00,1.43,1.63,1.78,1.38
2026-05-25 13:00,1.48,1.63,1.60,1.52
